=== Virus Engine Benchmark ===
Runs: 100
Grid: 12x12
Total (us): 456.00
Average (us): 4.56
Min (us): 4.00
Max (us): 22.00

Per-run times (us):
  Run 1: 12.00
  Run 2: 5.00
  Run 3: 4.00
  Run 4: 4.00
  Run 5: 4.00
  Run 6: 4.00
  Run 7: 4.00
  Run 8: 4.00
  Run 9: 4.00
  Run 10: 4.00
  Run 11: 4.00
  Run 12: 4.00
  Run 13: 4.00
  Run 14: 4.00
  Run 15: 4.00
  Run 16: 4.00
  Run 17: 4.00
  Run 18: 4.00
  Run 19: 4.00
  Run 20: 4.00
  Run 21: 4.00
  Run 22: 4.00
  Run 23: 4.00
  Run 24: 4.00
  Run 25: 4.00
  Run 26: 4.00
  Run 27: 4.00
  Run 28: 4.00
  Run 29: 4.00
  Run 30: 4.00
  Run 31: 4.00
  Run 32: 4.00
  Run 33: 4.00
  Run 34: 4.00
  Run 35: 4.00
  Run 36: 4.00
  Run 37: 4.00
  Run 38: 4.00
  Run 39: 7.00
  Run 40: 6.00
  Run 41: 7.00
  Run 42: 7.00
  Run 43: 22.00
  Run 44: 7.00
  Run 45: 7.00
  Run 46: 4.00
  Run 47: 6.00
  Run 48: 4.00
  Run 49: 4.00
  Run 50: 4.00
  Run 51: 5.00
  Run 52: 4.00
  Run 53: 7.00
  Run 54: 4.00
  Run 55: 4.00
  Run 56: 4.00
  Run 57: 4.00
  Run 58: 4.00
  Run 59: 4.00
  Run 60: 4.00
  Run 61: 4.00
  Run 62: 4.00
  Run 63: 4.00
  Run 64: 4.00
  Run 65: 4.00
  Run 66: 4.00
  Run 67: 4.00
  Run 68: 4.00
  Run 69: 4.00
  Run 70: 4.00
  Run 71: 5.00
  Run 72: 4.00
  Run 73: 4.00
  Run 74: 4.00
  Run 75: 5.00
  Run 76: 4.00
  Run 77: 4.00
  Run 78: 4.00
  Run 79: 4.00
  Run 80: 4.00
  Run 81: 5.00
  Run 82: 4.00
  Run 83: 5.00
  Run 84: 4.00
  Run 85: 5.00
  Run 86: 4.00
  Run 87: 4.00
  Run 88: 4.00
  Run 89: 4.00
  Run 90: 4.00
  Run 91: 4.00
  Run 92: 4.00
  Run 93: 4.00
  Run 94: 4.00
  Run 95: 4.00
  Run 96: 4.00
  Run 97: 4.00
  Run 98: 5.00
  Run 99: 4.00
  Run 100: 4.00
